coordinates,green_percentage,num_trees_in_buffer
"(1847613.3149919452, 6308942.125034717)",5.896900592094945,4305
"(1846431.9702917489, 6303486.735041085)",0.8145982889870118,7469
"(1848647.6289087017, 6309926.419632995)",29.35704109686074,5332
"(1856633.2216363496, 6296883.781669727)",0.0,125
