name,actualized,so2_1h,no2_1h,co_8h,pm10_1h,o3_1h,pm10_24h,pm2_5_1h
Brno-Tuřany,2023-05-23T09:59:45Z,7.5,4.8,,24.6,81,18.5,14.9
Brno - Dětská nemocnice,2023-05-23T09:59:45Z,,17.4,,23.5,67.8,19.6,9.3
Brno-Výstaviště,2023-05-23T09:59:45Z,,25.8,,,,57.1,0
Brno-Úvoz (hot spot),2023-05-23T09:59:45Z,,56.2,423,32.0,,21.6,14.3
Brno-Svatoplukova,2023-05-23T09:59:45Z,,38.4,277,60.2,,31.2,18.7
Brno-Arboretum,2023-05-23T09:59:45Z,,22.4,,31.7,62.6,18.7,13.1
Brno-Lány,2023-05-23T09:59:45Z,10.9,14.2,262,27.7,72.2,21.1,13.9
Brno-Komárov,2023-05-23T09:59:45Z,,17.6,,6.4,,4.0,4.4
Brno-Líšeň,2023-05-23T09:59:45Z,,,,25.7,,19.0,14.4
Brno-Úvoz (hot spot),2023-05-23T10:59:45Z,,49.4,412,26.9,,21.7,14.2
Brno-Výstaviště,2023-05-23T10:59:45Z,,19.3,,,,57.0,0
Brno-Komárov,2023-05-23T10:59:45Z,,12.8,,6.4,,4.0,4.8
Brno-Líšeň,2023-05-23T10:59:45Z,,,,21.3,,19.3,19.8
Brno-Svatoplukova,2023-05-23T10:59:45Z,,36,262,79.7,,33.1,33.4
Brno-Lány,2023-05-23T10:59:45Z,10.7,7.5,248,22.6,89.6,21.2,12.8
Brno - Dětská nemocnice,2023-05-23T10:59:45Z,,10.1,,17.9,92,19.5,16.4
Brno-Arboretum,2023-05-23T10:59:45Z,,10.7,,25.3,88.2,18.9,13.1
Brno-Tuřany,2023-05-23T10:59:45Z,6.1,4.2,,24.1,95.6,18.6,22.4
Brno - Dětská nemocnice,2023-05-23T11:59:45Z,,7.7,,27.3,101.3,19.6,14
Brno-Úvoz (hot spot),2023-05-23T11:59:45Z,,39.2,427,23.2,,21.8,12.5
Brno-Lány,2023-05-23T11:59:45Z,10.9,6.1,233,24.2,98.4,21.0,12.9
Brno-Líšeň,2023-05-23T11:59:45Z,,,,25.0,,19.5,18.9
Brno-Arboretum,2023-05-23T11:59:45Z,,6.5,,22.3,102.7,18.9,12.5
Brno-Výstaviště,2023-05-23T11:59:45Z,,21.2,,,,54.0,0
Brno-Svatoplukova,2023-05-23T11:59:45Z,,40.2,248,32.4,,33.3,12.8
Brno-Komárov,2023-05-23T11:59:45Z,,12.6,,5.1,,4.0,4
Brno-Tuřany,2023-05-23T11:59:45Z,7.2,3.6,,16.1,100.9,18.3,14.6
Brno-Výstaviště,2023-05-23T13:59:45Z,,41.5,,,,0.0,0
Brno-Tuřany,2023-05-23T13:59:45Z,6.4,6.3,,11.8,97.6,18.4,6.2
Brno-Arboretum,2023-05-23T13:59:45Z,,16.1,,20.6,82.6,19.0,11.1
Brno-Lány,2023-05-23T13:59:45Z,10.1,15.5,204,26.3,86.2,21.3,15.3
Brno-Úvoz (hot spot),2023-05-23T13:59:45Z,,45.5,438,23.3,,21.8,12.3
Brno-Svatoplukova,2023-05-23T13:59:45Z,,34.8,189,46.0,,33.9,15.9
Brno - Dětská nemocnice,2023-05-23T13:59:45Z,,,,25.9,85.6,20.2,15.8
Brno-Komárov,2023-05-23T13:59:45Z,,30.4,,10.5,,4.3,5.2
Brno-Líšeň,2023-05-23T13:59:45Z,,,,13.1,,19.5,10.5
Brno-Lány,2023-05-23T14:59:45Z,10.1,19.3,218,19.8,68.6,21.2,14.9
Brno-Komárov,2023-05-23T14:59:45Z,,40.9,,4.1,,4.3,3.8
Brno-Tuřany,2023-05-23T14:59:45Z,6.1,22.4,,10.7,71.4,18.3,5.3
Brno-Arboretum,2023-05-23T14:59:45Z,,22,,21.1,67.8,19.1,12
Brno-Výstaviště,2023-05-23T14:59:45Z,,45.7,,,,0.0,0
Brno - Dětská nemocnice,2023-05-23T14:59:45Z,,25.1,,24.4,55.1,20.7,19.6
Brno-Úvoz (hot spot),2023-05-23T14:59:45Z,,70.4,447,18.5,,21.8,10.7
Brno-Líšeň,2023-05-23T14:59:45Z,,,,17.9,,19.7,5.8
Brno-Svatoplukova,2023-05-23T14:59:45Z,,55.5,189,27.2,,34.1,18.3
Brno-Arboretum,2023-05-23T16:59:45Z,,19.1,,16.6,59.5,19.0,10.2
Brno-Svatoplukova,2023-05-23T16:59:45Z,,42.8,218,30.5,,34.4,23
Brno-Lány,2023-05-23T16:59:45Z,9.9,18.7,218,19.2,67.4,21.0,14.5
Brno-Úvoz (hot spot),2023-05-23T16:59:45Z,,41.3,411,17.5,,21.4,9.9
Brno-Výstaviště,2023-05-23T16:59:45Z,,35,,,,0.0,0
Brno - Dětská nemocnice,2023-05-23T16:59:45Z,,17,,19.3,62.2,20.6,11
Brno-Tuřany,2023-05-23T16:59:45Z,5.9,13,,16.1,72.8,18.5,8.1
Brno-Komárov,2023-05-23T16:59:45Z,,27.5,,2.7,,4.2,2.6
Brno-Líšeň,2023-05-23T16:59:45Z,,,,36.8,,20.9,16.3
Brno-Komárov,2023-05-23T17:59:45Z,,24.3,,1.9,,4.1,1.8
Brno-Tuřany,2023-05-23T17:59:45Z,5.9,9.6,,25.4,79.2,19.2,9.6
Brno - Dětská nemocnice,2023-05-23T17:59:45Z,,12.8,,22.0,66.4,20.9,9.2
Brno-Líšeň,2023-05-23T17:59:45Z,,,,21.5,,21.3,23.1
Brno-Výstaviště,2023-05-23T17:59:45Z,,31.6,,,,0.0,0
Brno-Lány,2023-05-23T17:59:45Z,8.5,27.4,218,15.8,63,20.8,12.2
Brno-Arboretum,2023-05-23T17:59:45Z,,13.6,,12.8,66.2,18.9,8.2
Brno-Svatoplukova,2023-05-23T17:59:45Z,,51.1,233,21.3,,33.6,16.1
Brno-Úvoz (hot spot),2023-05-23T17:59:45Z,,50.9,421,12.5,,21.1,8.5
Brno - Dětská nemocnice,2023-05-23T18:59:45Z,,13.6,,19.0,53.1,21.0,12
Brno-Výstaviště,2023-05-23T18:59:45Z,,30.4,,,,0.0,0
Brno-Arboretum,2023-05-23T18:59:45Z,,14.7,,12.7,60,18.8,8.4
Brno-Svatoplukova,2023-05-23T18:59:45Z,,43.4,248,22.3,,33.1,17.6
Brno-Komárov,2023-05-23T18:59:45Z,,23.5,,2.0,,4.0,2
Brno-Úvoz (hot spot),2023-05-23T18:59:45Z,,39.8,430,13.9,,20.9,9.1
Brno-Lány,2023-05-23T18:59:45Z,9.1,23.9,233,16.1,54.3,20.6,12.6
Brno-Tuřany,2023-05-23T18:59:45Z,5.9,15.5,,15.4,61.2,19.4,15
Brno-Líšeň,2023-05-23T18:59:45Z,,,,22.0,,21.2,15.3
Brno-Výstaviště,2023-05-23T19:59:45Z,,29.8,,,,0.0,0
Brno-Svatoplukova,2023-05-23T19:59:45Z,,45,277,23.4,,32.6,17.8
Brno-Líšeň,2023-05-23T19:59:46Z,,,,26.2,,21.5,11.4
Brno-Lány,2023-05-23T19:59:46Z,9.3,18.4,262,20.0,36.7,20.7,14.7
Brno-Úvoz (hot spot),2023-05-23T19:59:46Z,,35.8,434,17.7,,20.7,10.3
Brno - Dětská nemocnice,2023-05-23T19:59:46Z,,18.7,,19.4,38.7,21.1,8.3
Brno-Tuřany,2023-05-23T19:59:46Z,5.9,14.5,,14.4,52.5,19.4,11.8
Brno-Arboretum,2023-05-23T19:59:46Z,,17.6,,14.3,37.9,18.6,9.2
Brno-Komárov,2023-05-23T19:59:46Z,,23.3,,3.4,,4.1,3.3
Brno-Výstaviště,2023-05-23T20:59:46Z,,23.7,,,,0.0,0
Brno-Tuřany,2023-05-23T20:59:46Z,5.9,13.4,,11.9,40.7,19.1,16.8
Brno-Arboretum,2023-05-23T20:59:46Z,,14.3,,16.2,24.5,18.7,10.3
Brno - Dětská nemocnice,2023-05-23T20:59:46Z,,25.4,,19.2,22.3,21.3,6.7
Brno-Svatoplukova,2023-05-23T20:59:46Z,,37.5,291,23.1,,32.3,16.3
Brno-Lány,2023-05-23T20:59:46Z,9.6,20.7,291,24.8,15.8,21.0,17.6
Brno-Líšeň,2023-05-23T20:59:46Z,,,,22.0,,21.6,6.8
Brno-Komárov,2023-05-23T20:59:46Z,,45.3,,3.4,,4.0,3.3
Brno-Úvoz (hot spot),2023-05-23T20:59:46Z,,35.2,447,18.9,,20.7,11.1
Brno-Komárov,2023-05-23T21:59:46Z,,33.3,,3.5,,4.1,3.4
Brno-Výstaviště,2023-05-23T21:59:46Z,,21.8,,,,0.0,0
Brno-Lány,2023-05-23T21:59:46Z,9.3,22.6,320,27.6,18,21.4,19.5
Brno - Dětská nemocnice,2023-05-23T21:59:46Z,,29.6,,13.7,6.6,21.3,9.8
Brno-Svatoplukova,2023-05-23T21:59:46Z,,30.2,306,25.3,,32.3,17.6
Brno-Úvoz (hot spot),2023-05-23T21:59:46Z,,15.5,436,22.0,,20.8,12.3
Brno-Arboretum,2023-05-23T21:59:46Z,,23.7,,17.7,11.2,18.6,11.2
Brno-Tuřany,2023-05-23T21:59:46Z,5.6,10.9,,17.9,39.5,19.2,18.9
Brno-Líšeň,2023-05-23T21:59:46Z,,,,12.2,,21.1,6.4
Brno-Tuřany,2023-05-23T22:59:52Z,5.1,15.7,,11.5,43.9,19.2,20.3
Brno-Výstaviště,2023-05-23T22:59:52Z,,11.5,,,,0.0,0
Brno-Svatoplukova,2023-05-23T22:59:52Z,,17.8,277,23.1,,32.2,16.2
Brno-Úvoz (hot spot),2023-05-23T22:59:52Z,,13,406,20.8,,21.0,11.4
Brno-Arboretum,2023-05-23T22:59:52Z,,21,,19.1,27.7,18.7,11.3
Brno-Komárov,2023-05-23T22:59:52Z,,10.1,,3.7,,4.1,3.6
Brno-Líšeň,2023-05-23T22:59:52Z,,,,12.5,,20.9,18.6
Brno - Dětská nemocnice,2023-05-23T22:59:52Z,,17.6,,15.9,24.9,21.2,15.1
Brno-Lány,2023-05-23T22:59:52Z,9.1,7.8,306,22.9,57.3,21.5,16.1
Brno-Líšeň,2023-05-23T23:59:52Z,,,,8.7,,20.0,9.6
Brno - Dětská nemocnice,2023-05-23T23:59:52Z,,7.1,,17.2,42.5,20.8,12.6
Brno-Svatoplukova,2023-05-23T23:59:52Z,,6.7,233,21.3,,32.1,15.3
Brno-Úvoz (hot spot),2023-05-23T23:59:52Z,,9.4,371,15.0,,21.0,8.4
Brno-Lány,2023-05-23T23:59:52Z,8.8,8,291,20.0,45.5,21.6,13.8
Brno-Výstaviště,2023-05-23T23:59:52Z,,6.5,,,,0.0,0
Brno-Arboretum,2023-05-23T23:59:52Z,,6.3,,16.9,46.9,18.7,9.9
Brno-Komárov,2023-05-23T23:59:52Z,,7.1,,2.3,,4.1,2.2
Brno-Tuřany,2023-05-23T23:59:52Z,5.1,8.2,,11.8,48.3,19.0,10.7
Brno - Dětská nemocnice,2023-05-24T00:59:52Z,,5.5,,20.4,,20.5,13.2
Brno-Arboretum,2023-05-24T00:59:52Z,,16.6,,12.0,45.5,18.4,7
Brno-Úvoz (hot spot),2023-05-24T00:59:52Z,,9.4,330,11.8,,20.8,7.1
Brno-Výstaviště,2023-05-24T00:59:52Z,,7.5,,,,0.0,0
Brno-Tuřany,2023-05-24T00:59:52Z,5.3,5,,15.4,57.1,19.0,6.4
Brno-Komárov,2023-05-24T00:59:52Z,,8.4,,1.9,,4.1,1.8
Brno-Lány,2023-05-24T00:59:52Z,8.5,13.4,277,20.2,30.1,21.7,13.9
Brno-Líšeň,2023-05-24T00:59:52Z,,,,13.2,,19.9,5.4
Brno-Svatoplukova,2023-05-24T00:59:52Z,,11.7,189,16.8,,31.8,11.7
Brno - Dětská nemocnice,2023-05-24T01:59:52Z,,3.8,,13.3,53.3,20.4,9.8
Brno-Výstaviště,2023-05-24T01:59:52Z,,9,,,,0.0,0
Brno-Arboretum,2023-05-24T01:59:52Z,,14.9,,8.5,49.3,18.0,5.3
Brno-Lány,2023-05-24T01:59:52Z,8.8,8.6,262,14.8,38.3,21.5,10.6
Brno-Svatoplukova,2023-05-24T01:59:52Z,,14.3,175,11.7,,31.5,8.4
Brno-Úvoz (hot spot),2023-05-24T01:59:52Z,,,312,10.3,,20.6,5.8
Brno-Tuřany,2023-05-24T01:59:52Z,5.6,4.8,,8.8,,18.6,5.8
Brno-Komárov,2023-05-24T01:59:52Z,,6.7,,1.5,,4.0,1.5
Brno-Líšeň,2023-05-24T01:59:52Z,,,,15.1,,20.0,8.5
Brno-Líšeň,2023-05-24T02:59:52Z,,,,9.3,,19.9,5.9
Brno-Úvoz (hot spot),2023-05-24T02:59:52Z,,5.4,282,7.9,,20.3,4.7
Brno-Komárov,2023-05-24T02:59:52Z,,5.2,,1.2,,4.0,1.2
Brno - Dětská nemocnice,2023-05-24T02:59:52Z,,3.1,,8.2,46.9,20.3,6.4
Brno-Tuřany,2023-05-24T02:59:52Z,,,,6.7,49.9,18.0,4.1
Brno-Svatoplukova,2023-05-24T02:59:52Z,,13.2,175,10.1,,31.2,7.2
Brno-Arboretum,2023-05-24T02:59:52Z,,12.4,,8.3,42.5,17.7,4.8
Brno-Lány,2023-05-24T02:59:52Z,8,7.1,248,10.3,42.5,21.2,7.7
Brno-Výstaviště,2023-05-24T02:59:52Z,,5.4,,,,0.0,0
Brno-Výstaviště,2023-05-24T04:59:53Z,,10.7,,,,0.0,0
Brno-Lány,2023-05-24T04:59:53Z,8.3,6.1,189,5.7,40.7,20.1,4.4
Brno-Svatoplukova,2023-05-24T04:59:53Z,,18,175,4.8,,30.0,3.3
Brno-Líšeň,2023-05-24T04:59:53Z,,,,8.9,,18.7,2.2
Brno-Tuřany,2023-05-24T04:59:53Z,5.1,5.9,,15.8,35.7,17.3,2.6
Brno - Dětská nemocnice,2023-05-24T04:59:53Z,,4.4,,7.3,38.5,19.6,3
Brno-Úvoz (hot spot),2023-05-24T04:59:53Z,,10.9,224,7.5,,19.4,2.6
Brno-Komárov,2023-05-24T04:59:53Z,,12.8,,0.7,,3.8,0.7
Brno-Arboretum,2023-05-24T04:59:53Z,,8.2,,3.7,38.5,16.6,1.7
Brno-Arboretum,2023-05-24T05:59:53Z,,13,,4.0,36.3,16.1,2.2
Brno - Dětská nemocnice,2023-05-24T05:59:53Z,,7.3,,8.3,37.3,19.1,1
Brno-Úvoz (hot spot),2023-05-24T05:59:53Z,,24.9,224,9.2,,18.9,3.8
Brno-Svatoplukova,2023-05-24T05:59:53Z,,30,189,6.8,,29.4,4.7
Brno-Lány,2023-05-24T05:59:53Z,8,9.2,160,6.8,42.7,19.6,5.3
Brno-Výstaviště,2023-05-24T05:59:53Z,,16.6,,,,0.0,0
Brno-Líšeň,2023-05-24T05:59:53Z,,,,6.3,,18.2,3.3
Brno-Tuřany,2023-05-24T05:59:53Z,5.1,8.4,,8.4,37.7,16.4,2.3
Brno-Komárov,2023-05-24T05:59:53Z,,17,,0.8,,3.6,0.7
Brno-Lány,2023-05-24T07:59:53Z,7.7,7.3,131,8.5,47.1,18.6,6.6
Brno-Arboretum,2023-05-24T07:59:53Z,,8.2,,6.8,48.3,15.0,3.4
Brno - Dětská nemocnice,2023-05-24T07:59:53Z,,7.3,,8.4,45.3,17.7,2.9
Brno-Úvoz (hot spot),2023-05-24T07:59:53Z,,27.7,241,9.6,,17.5,3.7
Brno-Líšeň,2023-05-24T07:59:53Z,,,,11.9,,16.6,8.2
Brno-Komárov,2023-05-24T07:59:53Z,,14.5,,0.9,,3.3,0.7
Brno-Svatoplukova,2023-05-24T07:59:53Z,,29.3,233,11.3,,26.2,5.6
Brno-Výstaviště,2023-05-24T07:59:53Z,,26.4,,,,0.0,0
Brno-Tuřany,2023-05-24T07:59:53Z,5.6,5,,4.8,47.7,14.9,3.6
Brno - Dětská nemocnice,2023-05-24T08:59:53Z,,5,,8.7,53.9,16.7,2.6
Brno-Lány,2023-05-24T08:59:53Z,8.3,5.4,116,10.6,54.3,17.4,7.2
Brno-Arboretum,2023-05-24T08:59:53Z,,8.6,,7.8,61,14.4,4.3
Brno-Tuřany,2023-05-24T08:59:53Z,5.1,5,,8.5,44.7,14.2,11.4
Brno-Výstaviště,2023-05-24T08:59:53Z,,19.7,,,,0.0,0
Brno-Úvoz (hot spot),2023-05-24T08:59:53Z,,28.3,257,13.2,,16.2,5.3
Brno-Svatoplukova,2023-05-24T08:59:53Z,,18.4,262,12.9,,24.5,6.2
Brno-Líšeň,2023-05-24T08:59:53Z,,,,14.7,,16.0,16
Brno-Komárov,2023-05-24T08:59:53Z,,10.9,,2.1,,3.2,1.6
Brno-Výstaviště,2023-05-24T09:59:53Z,,22,,,,0.0,0
Brno-Komárov,2023-05-24T09:59:53Z,,10.7,,2.2,,3.0,1.7
Brno - Dětská nemocnice,2023-05-24T09:59:53Z,,5.7,,13.4,65.4,16.3,3.2
Brno-Tuřany,2023-05-24T09:59:53Z,5.1,3.4,,8.8,51.1,13.5,15.2
Brno-Lány,2023-05-24T09:59:53Z,8.8,4.4,116,14.1,63,16.9,8.5
Brno-Svatoplukova,2023-05-24T09:59:53Z,,18.4,262,19.2,,22.8,8.8
Brno-Arboretum,2023-05-24T09:59:53Z,,10.1,,10.7,68.2,13.5,5.9
Brno-Líšeň,2023-05-24T09:59:53Z,,,,11.0,,15.4,13.5
Brno-Úvoz (hot spot),2023-05-24T09:59:53Z,,20.1,254,13.2,,15.4,6.5
Brno-Výstaviště,2023-05-24T10:59:53Z,,19.3,,53.0,,0.0,10.9
Brno-Arboretum,2023-05-24T10:59:53Z,,9.8,,9.8,77.2,12.9,5.5
Brno-Líšeň,2023-05-24T10:59:53Z,,,,11.2,,15.0,7.7
Brno-Úvoz (hot spot),2023-05-24T10:59:53Z,,20.9,257,13.4,,14.9,6
Brno-Lány,2023-05-24T10:59:53Z,6.9,3.8,116,12.1,79.8,16.4,7.4
Brno-Svatoplukova,2023-05-24T10:59:53Z,,31.9,262,23.0,,20.5,8.5
Brno - Dětská nemocnice,2023-05-24T10:59:53Z,,7.8,,8.2,71,15.9,4.4
Brno-Tuřany,2023-05-24T10:59:53Z,5.3,1,,14.0,63,13.1,11.7
Brno-Komárov,2023-05-24T10:59:53Z,,11.5,,2.7,,2.8,2.1
Brno - Dětská nemocnice,2023-05-24T11:59:53Z,,7.7,,6.8,72.2,15.0,5.5
Brno-Arboretum,2023-05-24T11:59:53Z,,9.4,,10.3,76.6,12.4,5.9
Brno-Svatoplukova,2023-05-24T11:59:53Z,,25.1,262,18.7,,19.9,8
Brno-Výstaviště,2023-05-24T11:59:53Z,,24.3,,77.9,,0.0,14.4
Brno-Lány,2023-05-24T11:59:53Z,5.6,4.2,116,13.3,81.6,16.0,8.5
Brno-Komárov,2023-05-24T11:59:53Z,,10.9,,2.7,,2.7,2.1
Brno-Úvoz (hot spot),2023-05-24T11:59:53Z,,21.2,263,12.7,,14.4,6.2
Brno-Tuřany,2023-05-24T11:59:53Z,5.3,2.7,,9.1,67.4,12.8,10
Brno-Líšeň,2023-05-24T11:59:53Z,,,,7.9,,14.3,13.3
Brno - Dětská nemocnice,2023-05-24T12:59:53Z,,,,7.6,64.8,14.3,5.3
Brno-Výstaviště,2023-05-24T12:59:53Z,,19.3,,43.8,,0.0,11.3
Brno-Arboretum,2023-05-24T12:59:53Z,,8.4,,11.3,79.6,11.9,5.9
Brno-Lány,2023-05-24T12:59:53Z,5.6,4,116,12.2,84.6,15.5,7.7
Brno-Líšeň,2023-05-24T12:59:53Z,,,,8.2,,14.0,6.9
Brno-Komárov,2023-05-24T12:59:53Z,,10.7,,2.7,,2.6,2
Brno-Úvoz (hot spot),2023-05-24T12:59:53Z,,17.2,261,11.5,,13.9,5.8
Brno-Svatoplukova,2023-05-24T12:59:53Z,,21.6,248,20.3,,19.4,9.7
Brno-Tuřany,2023-05-24T12:59:53Z,5.1,1,,5.7,68.4,12.2,10.6
Brno-Lány,2023-05-24T13:59:53Z,5.9,4.2,116,11.0,87.8,14.9,6.7
Brno-Svatoplukova,2023-05-24T13:59:53Z,,31.8,248,16.2,,18.1,8.1
Brno - Dětská nemocnice,2023-05-24T13:59:53Z,,18.6,,13.5,69.4,13.7,14.4
Brno-Výstaviště,2023-05-24T13:59:53Z,,18.2,,47.0,,0.0,10.5
Brno-Úvoz (hot spot),2023-05-24T13:59:53Z,,17,252,11.4,,13.4,6
Brno-Komárov,2023-05-24T13:59:53Z,,9.9,,2.6,,2.3,2.1
Brno-Líšeň,2023-05-24T13:59:53Z,,,,24.5,,14.4,4.2
Brno-Tuřany,2023-05-24T13:59:53Z,5.1,3.3,,5.6,54.7,12.0,9.8
Brno-Arboretum,2023-05-24T13:59:53Z,,4.6,,10.9,84.4,11.5,5.8
Brno-Svatoplukova,2023-05-24T14:59:53Z,,36.7,248,14.5,,17.6,7.9
Brno-Arboretum,2023-05-24T14:59:53Z,,6.7,,13.6,84.4,11.2,6.3
Brno-Líšeň,2023-05-24T14:59:53Z,,,,15.8,,14.4,11.7
Brno-Lány,2023-05-24T14:59:53Z,5.6,4.8,116,10.9,89.8,14.5,7.2
Brno-Úvoz (hot spot),2023-05-24T14:59:53Z,,23.7,252,16.2,,13.3,8.9
Brno-Tuřany,2023-05-24T14:59:53Z,5.1,3.1,,9.1,55.7,11.9,5.4
Brno-Výstaviště,2023-05-24T14:59:53Z,,23.9,,27.7,,0.0,8.3
Brno - Dětská nemocnice,2023-05-24T14:59:53Z,,7.5,,17.7,80.2,13.5,18.5
Brno-Komárov,2023-05-24T14:59:53Z,,15.3,,3.1,,2.2,2.4
Brno-Arboretum,2023-05-24T15:59:54Z,,4.2,,11.8,86.4,11.0,6
Brno-Lány,2023-05-24T15:59:54Z,5.6,6.3,116,12.5,82.2,14.2,8.1
Brno-Svatoplukova,2023-05-24T15:59:54Z,,35.4,262,16.8,,17.0,8.3
Brno - Dětská nemocnice,2023-05-24T15:59:54Z,,5.2,,15.9,81.6,13.2,9.8
Brno-Líšeň,2023-05-24T15:59:54Z,,,,12.4,,14.3,25.4
Brno-Tuřany,2023-05-24T15:59:54Z,5.1,2.5,,5.3,59.9,11.2,3
Brno-Úvoz (hot spot),2023-05-24T15:59:54Z,,22,241,11.1,,13.0,6.1
Brno-Komárov,2023-05-24T15:59:54Z,,18.2,,2.8,,2.2,2.1
Brno-Výstaviště,2023-05-24T15:59:54Z,,19.1,,22.3,,0.0,7.3
Brno-Arboretum,2023-05-24T16:59:54Z,,4.8,,11.6,86.8,10.8,6.4
Brno-Úvoz (hot spot),2023-05-24T16:59:54Z,,22.8,228,13.4,,12.8,6.5
Brno-Výstaviště,2023-05-24T16:59:54Z,,21,,21.0,,0.0,7.6
Brno-Tuřany,2023-05-24T16:59:54Z,5.3,2.7,,5.5,64.8,10.8,2.8
Brno-Komárov,2023-05-24T16:59:54Z,,14.5,,2.8,,2.2,2.2
Brno-Lány,2023-05-24T16:59:54Z,5.3,6.3,131,15.6,86,14.1,9.5
Brno - Dětská nemocnice,2023-05-24T16:59:54Z,,12.6,,13.2,74.4,13.0,6.4
Brno-Svatoplukova,2023-05-24T16:59:54Z,,47.1,291,20.8,,16.6,11.7
Brno-Líšeň,2023-05-24T16:59:54Z,,,,27.9,,14.0,13.9
Brno - Dětská nemocnice,2023-05-24T17:59:54Z,,13.4,,13.8,69.6,12.6,4.4
Brno-Arboretum,2023-05-24T17:59:54Z,,5.9,,11.6,82,10.8,7
Brno-Lány,2023-05-24T17:59:54Z,5.6,5.7,146,17.3,83.4,14.2,10.9
Brno-Svatoplukova,2023-05-24T17:59:54Z,,30.4,306,20.2,,16.6,9.8
Brno-Výstaviště,2023-05-24T17:59:54Z,,12.6,,21.5,,0.0,8.4
Brno-Komárov,2023-05-24T17:59:54Z,,8.6,,2.9,,2.2,2.5
Brno-Líšeň,2023-05-24T17:59:54Z,,,,19.0,,13.9,8.6
Brno-Úvoz (hot spot),2023-05-24T17:59:54Z,,22,226,14.7,,12.9,7.5
Brno-Tuřany,2023-05-24T17:59:54Z,5.1,4.8,,9.0,48.3,10.1,3
Brno-Arboretum,2023-05-24T18:59:54Z,,7.7,,11.3,69.4,10.7,7.1
Brno - Dětská nemocnice,2023-05-24T18:59:54Z,,25.3,,11.3,50.9,12.3,3.3
Brno-Lány,2023-05-24T18:59:54Z,5.6,7.7,160,18.3,76.4,14.2,12.1
Brno-Komárov,2023-05-24T18:59:54Z,,10.5,,2.8,,2.3,2.5
Brno-Úvoz (hot spot),2023-05-24T18:59:54Z,,19.7,226,15.2,,12.9,7.9
Brno-Výstaviště,2023-05-24T18:59:54Z,,12.4,,25.8,,0.0,9.7
Brno-Líšeň,2023-05-24T18:59:54Z,,,,11.1,,13.4,4.8
Brno-Tuřany,2023-05-24T18:59:54Z,5.3,5.9,,5.6,43.7,9.7,2.2
Brno-Svatoplukova,2023-05-24T18:59:54Z,,28.5,306,19.2,,16.4,10.5
Brno-Výstaviště,2023-05-24T19:59:54Z,,9,,13.8,,0.0,7.2
Brno-Líšeň,2023-05-24T19:59:54Z,,,,7.7,,12.6,6
Brno-Úvoz (hot spot),2023-05-24T19:59:54Z,,11.1,222,10.7,,12.7,6.3
Brno - Dětská nemocnice,2023-05-24T19:59:54Z,,32.1,,13.0,30.1,12.1,2.5
Brno-Svatoplukova,2023-05-24T19:59:54Z,,26.4,306,15.9,,16.1,9.2
Brno-Komárov,2023-05-24T19:59:54Z,,15.1,,1.9,,2.2,1.7
Brno-Lány,2023-05-24T19:59:54Z,5.1,9.2,175,17.1,48.9,14.1,11.1
Brno-Arboretum,2023-05-24T19:59:54Z,,9,,9.7,49.1,10.5,5.9
Brno-Tuřany,2023-05-24T19:59:54Z,5.3,6.5,,7.7,41.3,9.4,4.2
Brno-Komárov,2023-05-24T20:59:54Z,,11.9,,2.1,,2.2,2.1
Brno-Líšeň,2023-05-24T20:59:54Z,,,,15.7,,12.4,6.4
Brno-Tuřany,2023-05-24T20:59:54Z,5.3,7.8,,15.8,39.5,9.6,4.2
Brno - Dětská nemocnice,2023-05-24T20:59:54Z,,31.9,,10.1,23.9,11.7,4.3
Brno-Lány,2023-05-24T20:59:54Z,4.8,8.8,189,20.3,37.1,13.9,14.8
Brno-Arboretum,2023-05-24T20:59:54Z,,6.5,,11.0,43.7,10.3,7.6
Brno-Svatoplukova,2023-05-24T20:59:54Z,,18.9,306,17.8,,15.9,12.4
Brno-Úvoz (hot spot),2023-05-24T20:59:54Z,,10.1,222,12.4,,12.4,8.2
Brno-Výstaviště,2023-05-24T20:59:54Z,,6.9,,13.6,,0.0,8.6
Brno-Arboretum,2023-05-24T21:59:54Z,,6.7,,12.0,46.7,10.1,8.5
Brno - Dětská nemocnice,2023-05-24T21:59:54Z,,9.9,,12.8,42.7,11.6,2.5
Brno-Úvoz (hot spot),2023-05-24T21:59:54Z,,14.9,223,14.6,,12.1,9.3
Brno-Lány,2023-05-24T21:59:54Z,4.3,9,204,18.3,39.7,13.6,14.2
Brno-Svatoplukova,2023-05-24T21:59:54Z,,27.5,306,19.2,,15.6,14
Brno-Líšeň,2023-05-24T21:59:54Z,,,,9.6,,12.3,5.7
Brno-Tuřany,2023-05-24T21:59:54Z,5.1,8.6,,10.3,41.7,9.3,11.5
Brno-Výstaviště,2023-05-24T21:59:54Z,,11.9,,17.9,,0.0,10.1
Brno-Komárov,2023-05-24T21:59:54Z,,9.9,,2.0,,2.1,2
Brno - Dětská nemocnice,2023-05-24T22:59:54Z,,5.5,,10.7,47.1,11.4,6.8
Brno-Výstaviště,2023-05-24T22:59:54Z,,11.3,,18.4,,0.0,10.2
Brno-Lány,2023-05-24T22:59:54Z,4,7.1,218,18.7,46.3,13.4,14.7
Brno-Arboretum,2023-05-24T22:59:54Z,,5.7,,12.3,49.5,9.8,8.9
Brno-Líšeň,2023-05-24T22:59:54Z,,,,12.4,,12.3,18.8
