Rok;Měsíc;Průměrná teplota vzduchu;Medián teplota vzduchu;Maximální teplota vzduchu;Průměrná přízemní teplota;Maximální přízemní teplota;Lokalita;Souřadnice
2022;1;1.8843862007168457;1.8;13.3;1.1043906810035842;14.1;Střed - Filozofická fakulta;1847613.3149919452, 6308942.125034717
2022;2;4.848214285714286;4.8;15.0;4.318799603174604;19.8;Střed - Filozofická fakulta;1847613.3149919452, 6308942.125034717
2022;3;5.650604838709677;5.0;20.8;5.556541218637993;30.6;Střed - Filozofická fakulta;1847613.3149919452, 6308942.125034717
2022;4;9.188680555555555;8.8;22.4;9.900532407407407;35.5;Střed - Filozofická fakulta;1847613.3149919452, 6308942.125034717
2022;5;16.938933691756272;16.6;29.5;18.165479390681003;49.0;Střed - Filozofická fakulta;1847613.3149919452, 6308942.125034717
2022;6;21.322337962962962;21.3;35.1;22.310324074074074;52.5;Střed - Filozofická fakulta;1847613.3149919452, 6308942.125034717
2022;7;21.56659946236559;20.8;36.4;22.55472670250896;56.1;Střed - Filozofická fakulta;1847613.3149919452, 6308942.125034717
2022;8;21.89222670250896;20.9;35.6;22.334296594982078;51.4;Střed - Filozofická fakulta;1847613.3149919452, 6308942.125034717
2022;9;14.278333333333334;14.2;27.8;14.567662037037037;37.9;Střed - Filozofická fakulta;1847613.3149919452, 6308942.125034717
2022;10;12.02130376344086;11.7;22.2;11.7516353046595;28.7;Střed - Filozofická fakulta;1847613.3149919452, 6308942.125034717
2022;11;5.8282638888888885;5.3;17.5;5.2817592592592595;19.5;Střed - Filozofická fakulta;1847613.3149919452, 6308942.125034717
2022;12;1.059834229390681;1.0;9.3;0.7546146953405017;8.3;Střed - Filozofická fakulta;1847613.3149919452, 6308942.125034717
2022;1;1.5820564516129032;1.6;13.6;0.965255376344086;14.2;Bohunice;1846431.9702917489, 6303486.735041085
2022;2;4.299255952380952;4.3;15.5;3.6559523809523813;17.5;Bohunice;1846431.9702917489, 6303486.735041085
2022;3;4.70880376344086;3.9;21.3;4.482694892473118;29.4;Bohunice;1846431.9702917489, 6303486.735041085
2022;4;8.620625;8.3;21.8;9.504097222222223;35.5;Bohunice;1846431.9702917489, 6303486.735041085
2022;5;16.278125;16.2;30.6;17.93420698924731;41.2;Bohunice;1846431.9702917489, 6303486.735041085
2022;6;20.635;20.8;34.6;22.366770833333334;43.0;Bohunice;1846431.9702917489, 6303486.735041085
