Rok,Měsíc,mean,median
2023,1,3.0600358422939067,3.0
2023,2,3.1389632936507934,2.8
2023,3,6.869310035842293,6.6
2023,4,8.812962962962963,8.6
2023,5,14.729525089605737,14.1
2023,6,19.633449074074075,19.2
2023,7,22.903158602150537,22.7
2023,8,20.931518817204303,20.1
2023,9,19.17264595103578,18.5
2023,10,13.096415770609319,12.6
2023,11,5.61,6.0
2023,12,2.3599014336917565,2.1
